ID,Kind,Common Name,Scientific Name,Family,Care Level,Sensitivity,Min pH,Ideal pH,Max pH,Min Temp (C),Ideal Temp (C),Max Temp (C),Min Ammonia (ppm),Ideal Ammonia (ppm),Max Safe Ammonia (ppm),Min Nitrite (ppm),Ideal Nitrite (ppm),Max Safe Nitrite (ppm),Min Nitrate (ppm),Ideal Nitrate (ppm),Max Safe Nitrate (ppm),Min Dissolved O2 (mg/L),Ideal Dissolved O2 (mg/L),Max Dissolved O2 (mg/L),Notes,Source
11,Fish,Lemon Tetra,Hyphessobrycon pulchripinnis,Characidae,Easy,Low,6.0,6.75,7.5,23.0,25.5,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Lemon Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
12,Fish,Green Neon Tetra,Paracheirodon simulans,Characidae,Moderate,Medium,5.0,6.0,7.0,22.0,24.5,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Green Neon Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
13,Fish,Penguin Tetra,Thayeria boehlkei,Characidae,Easy,Low,6.0,6.75,7.5,23.0,25.0,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Penguin Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
14,Fish,Buenos Aires Tetra,Hyphessobrycon anisitsi,Characidae,Easy,Low,6.0,7.0,8.0,18.0,22.0,26.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Buenos Aires Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
15,Fish,Silver Tip Tetra,Hasemania nana,Characidae,Easy,Low,6.0,6.75,7.5,22.0,24.5,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.2,8.0,12.0,Silver Tip Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
16,Fish,Tiger Barb,Puntigrus tetrazona,Cyprinidae,Easy,Low,6.0,7.0,8.0,20.0,23.0,26.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Tiger Barb stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
17,Fish,Cherry Barb,Puntius titteya,Cyprinidae,Easy,Low,6.0,6.75,7.5,22.0,24.5,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Cherry Barb stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
18,Fish,Gold Barb,Barbodes semifasciolatus,Cyprinidae,Easy,Low,6.0,7.0,8.0,18.0,21.0,24.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Gold Barb stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
19,Fish,Rosy Barb,Pethia conchonius,Cyprinidae,Easy,Low,6.0,7.0,8.0,18.0,21.5,25.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Rosy Barb stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
20,Fish,Odessa Barb,Pethia padamya,Cyprinidae,Easy,Low,6.5,7.0,7.5,20.0,22.5,25.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Odessa Barb stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
21,Fish,Checkerboard Barb,Oliotius oligolepis,Cyprinidae,Moderate,Medium,6.0,6.5,7.0,23.0,25.0,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Checkerboard Barb stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
22,Fish,Zebra Danio,Danio rerio,Cyprinidae,Easy,Low,6.5,7.0,7.5,18.0,21.0,24.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.6,8.4,12.0,Zebra Danio stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
23,Fish,Pearl Danio,Danio albolineatus,Cyprinidae,Easy,Low,6.0,6.75,7.5,22.0,24.0,26.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Pearl Danio stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
24,Fish,Giant Danio,Devario aequipinnatus,Cyprinidae,Easy,Low,6.0,6.75,7.5,18.0,21.5,25.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.6,8.4,12.0,Giant Danio stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
25,Fish,Harlequin Rasbora,Trigonostigma heteromorpha,Cyprinidae,Easy,Low,6.0,6.75,7.5,23.0,25.0,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Harlequin Rasbora stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
26,Fish,Chili Rasbora,Boraras brigittae,Cyprinidae,Moderate,Medium,4.0,5.5,7.0,23.0,25.0,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.0,7.8,12.0,Chili Rasbora stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
27,Fish,Guppy,Poecilia reticulata,Poeciliidae,Easy,Low,6.8,7.3,7.8,22.0,25.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Guppy stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
28,Fish,Platy,Xiphophorus maculatus,Poeciliidae,Easy,Low,6.8,7.4,8.0,18.0,22.0,26.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Platy stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
29,Fish,Molly,Poecilia sphenops,Poeciliidae,Easy,Low,7.0,7.75,8.5,22.0,25.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.6,8.4,12.0,Molly stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
30,Fish,Swordtail,Xiphophorus hellerii,Poeciliidae,Easy,Low,7.0,7.7,8.4,18.0,22.0,26.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Swordtail stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
31,Fish,Endler's Livebearer,Poecilia wingei,Poeciliidae,Easy,Low,7.0,7.5,8.0,22.0,24.5,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Endler's Livebearer stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
32,Fish,Angelfish,Pterophyllum scalare,Cichlidae,Moderate,Medium,6.0,6.75,7.5,24.0,26.5,29.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Angelfish stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
33,Fish,Discus,Symphysodon aequifasciatus,Cichlidae,Difficult,High,5.5,6.25,7.0,28.0,30.0,32.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,4.0,10.0,6.8,8.6,12.0,Discus is toxin-sensitive. Ammonia and nitrite must stay at 0 ppm.,Fish catalog
34,Fish,German Blue Ram,Mikrogeophagus ramirezi,Cichlidae,Moderate,High,5.0,6.0,7.0,27.0,28.5,30.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,German Blue Ram is toxin-sensitive. Ammonia and nitrite must stay at 0 ppm.,Fish catalog
35,Fish,Kribensis,Pelvicachromis pulcher,Cichlidae,Easy,Low,6.0,6.75,7.5,24.0,25.5,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Kribensis stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
36,Fish,Electric Yellow Cichlid,Labidochromis caeruleus,Cichlidae,Moderate,Medium,7.5,8.0,8.5,24.0,25.5,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Electric Yellow Cichlid stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
37,Fish,Convict Cichlid,Amatitlania nigrofasciata,Cichlidae,Easy,Low,6.5,7.25,8.0,21.0,24.5,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Convict Cichlid stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
38,Fish,Oscar,Astronotus ocellatus,Cichlidae,Moderate,Medium,6.0,6.75,7.5,22.0,24.5,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Oscar stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
39,Fish,Firemouth Cichlid,Thorichthys meeki,Cichlidae,Moderate,Medium,6.5,7.0,7.5,23.0,25.5,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Firemouth Cichlid stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
40,Fish,Jack Dempsey,Rocio octofasciata,Cichlidae,Moderate,Medium,6.5,7.0,7.5,22.0,25.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Jack Dempsey stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
41,Fish,Blood Parrot Cichlid,Hybrid Cichlid,Cichlidae,Moderate,Medium,6.5,6.95,7.4,24.0,26.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Blood Parrot Cichlid stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
42,Fish,Bolivian Ram,Mikrogeophagus altispinosus,Cichlidae,Easy,Low,6.0,6.75,7.5,23.0,25.0,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Bolivian Ram stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
43,Fish,Peacock Cichlid,Aulonocara sp.,Cichlidae,Moderate,Medium,7.5,8.0,8.5,24.0,25.5,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Peacock Cichlid stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
44,Fish,Keyhole Cichlid,Cleithracara maronii,Cichlidae,Easy,Low,6.0,6.5,7.0,23.0,25.5,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Keyhole Cichlid stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
45,Fish,Apistogramma (Cockatoo Dwarf Cichlid),Apistogramma cacatuoides,Cichlidae,Moderate,High,5.0,6.0,7.0,25.0,27.0,29.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Apistogramma (Cockatoo Dwarf Cichlid) is toxin-sensitive. Ammonia and nitrite must stay at 0 ppm.,Fish catalog
46,Fish,Bronze Corydoras,Corydoras aeneus,Callichthyidae,Easy,Low,6.0,7.0,8.0,22.0,24.0,26.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Bronze Corydoras stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
47,Fish,Panda Corydoras,Corydoras panda,Callichthyidae,Easy,Low,6.0,6.75,7.5,20.0,22.0,24.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Panda Corydoras stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
48,Fish,Sterbai Corydoras,Corydoras sterbai,Callichthyidae,Easy,Low,6.0,6.75,7.5,25.0,27.0,29.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Sterbai Corydoras stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
49,Fish,Bristlenose Pleco,Ancistrus cirrhosus,Loricariidae,Easy,Low,6.5,7.0,7.5,22.0,24.5,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.6,8.4,12.0,Bristlenose Pleco stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
50,Fish,Otocinclus Catfish,Otocinclus vittatus,Loricariidae,Moderate,High,6.0,6.75,7.5,22.0,24.5,27.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,8.0,20.0,6.7,8.5,12.0,Otocinclus Catfish is toxin-sensitive. Ammonia and nitrite must stay at 0 ppm.,Fish catalog
51,Fish,Clown Pleco,Panaqolus maccus,Loricariidae,Easy,Low,6.5,7.0,7.5,23.0,25.5,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Clown Pleco stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
52,Fish,Glass Catfish,Kryptopterus vitreolus,Siluridae,Moderate,Medium,6.0,6.75,7.5,24.0,26.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Glass Catfish stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
53,Fish,Pictus Catfish,Pimelodus pictus,Pimelodidae,Moderate,Medium,6.5,7.0,7.5,23.0,25.0,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Pictus Catfish stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
54,Fish,Farlowella Catfish (Twig Catfish),Farlowella acus,Loricariidae,Difficult,High,6.0,6.5,7.0,22.0,24.0,26.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Farlowella Catfish (Twig Catfish) is toxin-sensitive. Ammonia and nitrite must stay at 0 ppm.,Fish catalog
55,Fish,Peppered Corydoras,Corydoras paleatus,Callichthyidae,Easy,Low,6.0,6.75,7.5,18.0,20.5,23.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Peppered Corydoras stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
56,Fish,Betta (Siamese Fighting Fish),Betta splendens,Osphronemidae,Easy,Low,6.0,6.75,7.5,24.0,26.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,5.5,7.3,12.0,Betta (Siamese Fighting Fish) stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
57,Fish,Dwarf Gourami,Trichogaster lalius,Osphronemidae,Easy,Low,6.0,6.75,7.5,22.0,25.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,5.8,7.6,12.0,Dwarf Gourami stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
58,Fish,Pearl Gourami,Trichopodus leerii,Osphronemidae,Easy,Low,6.0,6.75,7.5,25.0,26.5,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,5.8,7.6,12.0,Pearl Gourami stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
59,Fish,Honey Gourami,Trichogaster chuna,Osphronemidae,Easy,Low,6.0,6.75,7.5,24.0,26.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,5.8,7.6,12.0,Honey Gourami stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
60,Fish,Blue Gourami,Trichopodus trichopterus,Osphronemidae,Easy,Low,6.0,7.0,8.0,23.0,25.5,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,5.9,7.7,12.0,Blue Gourami stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
61,Fish,Chocolate Gourami,Sphaerichthys osphromenoides,Osphronemidae,Difficult,High,4.0,5.25,6.5,25.0,27.0,29.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,4.0,10.0,5.5,7.3,12.0,Chocolate Gourami is toxin-sensitive. Ammonia and nitrite must stay at 0 ppm.,Fish catalog
62,Fish,Paradise Fish,Macropodus opercularis,Osphronemidae,Easy,Low,6.0,7.0,8.0,15.0,20.0,25.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,5.8,7.6,12.0,Paradise Fish stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
63,Fish,Licorice Gourami,Parosphromenus deissneri,Osphronemidae,Difficult,High,4.0,5.0,6.0,23.0,25.0,27.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,4.0,10.0,5.5,7.3,12.0,Licorice Gourami is toxin-sensitive. Ammonia and nitrite must stay at 0 ppm.,Fish catalog
64,Fish,Kissing Gourami,Helostoma temminkii,Helostomatidae,Moderate,Medium,6.0,7.0,8.0,22.0,25.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,5.9,7.7,12.0,Kissing Gourami stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
65,Fish,Kuhli Loach,Pangio kuhlii,Cobitidae,Easy,Low,5.5,6.0,6.5,24.0,26.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.2,8.0,12.0,Kuhli Loach stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
66,Fish,Yoyo Loach,Botia almorhae,Botiidae,Moderate,Medium,6.5,7.0,7.5,23.0,25.0,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Yoyo Loach stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
67,Fish,Clown Loach,Chromobotia macracanthus,Botiidae,Moderate,Medium,6.0,6.75,7.5,26.0,28.0,30.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Clown Loach stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
68,Fish,Zebra Loach,Botia striata,Botiidae,Moderate,Medium,6.0,6.75,7.5,25.0,27.0,29.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Zebra Loach stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
69,Fish,Dwarf Chain Loach,Ambastaia sidthimunki,Botiidae,Moderate,Medium,6.0,6.75,7.5,24.0,26.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Dwarf Chain Loach stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
70,Fish,Weather Loach (Dojo Loach),Misgurnus anguillicaudatus,Cobitidae,Easy,Low,6.0,7.0,8.0,10.0,17.5,25.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Weather Loach (Dojo Loach) stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
71,Fish,Boesemani Rainbowfish,Melanotaenia boesemani,Melanotaeniidae,Easy,Low,7.0,7.5,8.0,25.0,26.5,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.6,8.4,12.0,Boesemani Rainbowfish stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
72,Fish,Turquoise Rainbowfish,Melanotaenia lacustris,Melanotaeniidae,Easy,Low,7.0,7.5,8.0,24.0,26.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.6,8.4,12.0,Turquoise Rainbowfish stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
73,Fish,Neon Dwarf Rainbowfish,Melanotaenia praecox,Melanotaeniidae,Easy,Low,6.5,7.0,7.5,24.0,26.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Neon Dwarf Rainbowfish stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
74,Fish,Threadfin Rainbowfish,Iriatherina werneri,Melanotaeniidae,Moderate,Medium,6.0,6.75,7.5,24.0,26.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Threadfin Rainbowfish stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
75,Fish,Celebes Rainbowfish,Marosatherina ladigesi,Telmatherinidae,Moderate,Medium,7.0,7.75,8.5,25.0,27.0,29.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.6,8.4,12.0,Celebes Rainbowfish stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
76,Fish,Common Goldfish,Carassius auratus,Cyprinidae,Easy,Low,6.0,7.0,8.0,10.0,17.0,24.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Common Goldfish stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
77,Fish,Fancy Goldfish (Oranda),Carassius auratus,Cyprinidae,Moderate,Medium,6.0,7.0,8.0,18.0,20.0,22.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Fancy Goldfish (Oranda) stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
78,Fish,White Cloud Mountain Minnow,Tanichthys albonubes,Cyprinidae,Easy,Low,6.0,7.0,8.0,14.0,18.0,22.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.6,8.4,12.0,White Cloud Mountain Minnow stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
79,Fish,Bloodfin Tetra,Aphyocharax anisitsi,Characidae,Easy,Low,6.0,6.75,7.5,18.0,21.0,24.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Bloodfin Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
80,Fish,Cape Lopez Killifish,Aphyosemion australe,Nothobranchiidae,Moderate,High,6.0,6.5,7.0,20.0,22.0,24.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,8.0,20.0,6.2,8.0,12.0,Cape Lopez Killifish is toxin-sensitive. Ammonia and nitrite must stay at 0 ppm.,Fish catalog
81,Fish,Peacock Gudgeon,Tateurndina ocellicauda,Eleotridae,Moderate,Medium,6.5,7.0,7.5,24.0,26.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Peacock Gudgeon stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
82,Fish,Black Ghost Knifefish,Apteronotus albifrons,Apteronotidae,Difficult,High,6.0,6.75,7.5,24.0,26.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Black Ghost Knifefish needs tight water control. Test often and keep waste low.,Fish catalog
83,Fish,Flying Fox,Crossocheilus siamensis,Cyprinidae,Moderate,Medium,6.0,6.75,7.5,22.0,24.0,26.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Flying Fox stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
