SampleID,Species ID,Kind,Common Name,Scientific Name,Sensitivity,pH,Temperature,Ammonia,Nitrite,Nitrate,DissolvedO2,Quality,Failed Parameters,Primary Issue,Recommended Action,Action Priority,Min pH,Max pH,Min Temp (C),Max Temp (C),Max Safe Ammonia (ppm),Max Safe Nitrite (ppm),Max Safe Nitrate (ppm),Min Dissolved O2 (mg/L)
29,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,4.95,36.5,0.002,0.001,3.3,9.1,critical,Temperature,Temperature,Adjust the heater 1°C at a time. Increase surface movement if the tank is hot.,critical,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
30,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,5.13,25.9,0.12,0.003,3.9,4.1,critical,"Ammonia, DissolvedO2",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
31,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,6.31,24.0,0.002,0.003,8.2,8.9,excellent,,,Keep weekly testing and regular water changes.,low,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
32,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,7.28,22.7,0.002,0.003,3.8,8.3,excellent,,,Keep weekly testing and regular water changes.,low,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
33,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,6.35,27.2,0.002,0.004,7.4,9.6,excellent,,,Keep weekly testing and regular water changes.,low,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
34,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,7.02,22.7,0.0,0.003,7.3,8.7,excellent,,,Keep weekly testing and regular water changes.,low,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
35,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,6.56,25.6,0.016,0.008,15.5,6.8,good,,,Keep weekly testing and regular water changes.,low,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
36,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,6.35,25.9,0.016,0.006,14.5,6.6,good,,,Keep weekly testing and regular water changes.,low,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
37,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,6.98,26.8,0.008,0.001,16.6,6.4,good,,,Keep weekly testing and regular water changes.,low,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
38,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,7.1,21.0,0.001,0.004,4.1,8.9,watch,Temperature,Temperature,Adjust the heater 1°C at a time. Increase surface movement if the tank is hot.,high,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
39,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,7.81,22.9,0.001,0.0,6.3,10.4,watch,pH,pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,high,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
40,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,6.17,25.0,0.032,0.003,3.4,8.5,watch,Ammonia,Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
41,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,5.06,24.6,0.0,0.001,5.9,8.2,watch,pH,pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,high,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
42,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,9.9,33.7,0.0,0.003,7.9,11.5,critical,"pH, Temperature",pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,critical,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
43,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,6.53,26.7,0.12,0.002,6.5,1.7,critical,"Ammonia, DissolvedO2",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
44,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,4.95,37.6,0.001,0.001,5.1,9.0,critical,"pH, Temperature",pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,critical,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
45,3,Fish,Ember Tetra,Hyphessobrycon amandae,Low,4.9,36.5,0.003,0.003,7.4,9.8,critical,"pH, Temperature",pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,critical,5.5,7.5,22.0,28.0,0.02,0.02,20.0,6.0
46,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,7.16,22.1,0.002,0.0,7.0,8.3,excellent,,,Keep weekly testing and regular water changes.,low,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
47,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,7.3,22.1,0.004,0.003,6.3,10.8,excellent,,,Keep weekly testing and regular water changes.,low,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
48,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,7.04,25.2,0.001,0.002,3.7,10.2,excellent,,,Keep weekly testing and regular water changes.,low,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
49,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,5.9,23.7,0.002,0.002,5.9,10.8,excellent,,,Keep weekly testing and regular water changes.,low,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
50,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,7.09,23.5,0.013,0.013,13.7,6.6,good,,,Keep weekly testing and regular water changes.,low,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
51,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,5.69,24.2,0.011,0.011,17.0,6.9,good,,,Keep weekly testing and regular water changes.,low,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
52,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,7.28,24.7,0.01,0.005,14.9,6.7,good,,,Keep weekly testing and regular water changes.,low,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
53,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,5.85,25.2,0.048,0.002,7.0,10.0,watch,Ammonia,Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
54,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,6.46,23.0,0.05,0.003,8.1,8.4,watch,Ammonia,Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
55,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,6.75,22.1,0.002,0.003,26.2,9.6,watch,Nitrate,Nitrate,"Do a 25–40% water change, vacuum the substrate, and add fast-growing plants.",medium,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
56,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,6.42,23.3,0.001,0.004,34.0,8.4,watch,Nitrate,Nitrate,"Do a 25–40% water change, vacuum the substrate, and add fast-growing plants.",medium,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
57,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,7.2,22.7,0.227,1.875,8.4,10.4,critical,"Ammonia, Nitrite",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
58,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,5.63,22.5,0.12,0.003,4.2,3.1,critical,"Ammonia, DissolvedO2",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
59,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,10.12,36.9,0.0,0.002,7.4,8.9,critical,"pH, Temperature",pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,critical,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
60,4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Low,7.12,21.8,0.12,0.0,5.8,3.0,critical,"Ammonia, DissolvedO2",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.5,7.5,21.0,26.0,0.02,0.02,20.0,6.2
61,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,6.72,25.0,0.003,0.001,4.6,10.6,excellent,,,Keep weekly testing and regular water changes.,low,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
62,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,6.89,26.3,0.0,0.002,3.4,11.2,excellent,,,Keep weekly testing and regular water changes.,low,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
63,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,6.53,25.1,0.0,0.001,8.3,9.8,excellent,,,Keep weekly testing and regular water changes.,low,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
64,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,6.63,26.4,0.002,0.001,8.1,9.2,excellent,,,Keep weekly testing and regular water changes.,low,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
65,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,6.36,26.7,0.013,0.013,13.9,7.4,good,,,Keep weekly testing and regular water changes.,low,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
66,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,6.11,25.9,0.008,0.002,14.7,7.1,good,,,Keep weekly testing and regular water changes.,low,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
67,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,6.14,26.4,0.013,0.006,15.5,6.9,good,,,Keep weekly testing and regular water changes.,low,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
68,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,7.38,25.5,0.0,0.002,5.7,9.0,watch,pH,pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,high,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
69,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,6.52,22.5,0.003,0.001,7.3,10.1,watch,Temperature,Temperature,Adjust the heater 1°C at a time. Increase surface movement if the tank is hot.,high,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
70,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,6.42,25.6,0.041,0.003,7.8,11.3,watch,Ammonia,Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
71,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,6.65,21.8,0.003,0.002,3.8,8.4,watch,Temperature,Temperature,Adjust the heater 1°C at a time. Increase surface movement if the tank is hot.,high,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
72,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,5.65,25.4,0.647,6.377,92.1,10.7,critical,"Ammonia, Nitrite, Nitrate",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
73,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,5.79,26.3,0.806,0.879,8.2,11.6,critical,"Ammonia, Nitrite",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
74,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,6.5,26.6,1.204,2.064,54.1,8.9,critical,"Ammonia, Nitrite, Nitrate",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
75,5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Medium,6.91,26.2,0.12,0.004,3.9,2.5,critical,"Ammonia, DissolvedO2",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.5,7.0,24.0,28.0,0.02,0.02,20.0,6.4
76,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,6.0,26.2,0.002,0.002,4.0,8.7,excellent,,,Keep weekly testing and regular water changes.,low,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
77,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,7.28,22.8,0.001,0.001,5.7,10.2,excellent,,,Keep weekly testing and regular water changes.,low,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
78,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,6.64,23.0,0.001,0.003,6.5,10.4,excellent,,,Keep weekly testing and regular water changes.,low,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
79,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,6.91,26.3,0.0,0.001,6.0,9.3,excellent,,,Keep weekly testing and regular water changes.,low,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
80,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,7.22,24.9,0.015,0.012,16.0,8.0,good,,,Keep weekly testing and regular water changes.,low,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
81,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,6.79,27.0,0.01,0.007,16.2,6.7,good,,,Keep weekly testing and regular water changes.,low,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
82,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,6.48,27.4,0.013,0.002,15.0,6.8,good,,,Keep weekly testing and regular water changes.,low,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
83,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,5.92,30.2,0.002,0.001,6.3,8.1,watch,Temperature,Temperature,Adjust the heater 1°C at a time. Increase surface movement if the tank is hot.,high,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
84,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,5.4,27.3,0.002,0.002,7.2,11.3,watch,pH,pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,high,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
85,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,7.36,20.1,0.003,0.0,7.0,9.6,watch,Temperature,Temperature,Adjust the heater 1°C at a time. Increase surface movement if the tank is hot.,high,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
86,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,7.37,21.0,0.001,0.003,7.1,9.3,watch,Temperature,Temperature,Adjust the heater 1°C at a time. Increase surface movement if the tank is hot.,high,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
87,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,5.94,26.3,0.825,0.494,5.6,11.5,critical,"Ammonia, Nitrite",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
88,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,9.15,36.9,0.004,0.003,3.4,9.4,critical,"pH, Temperature",pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,critical,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
89,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,7.21,26.1,0.154,1.225,4.4,10.3,critical,"Ammonia, Nitrite",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
90,6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Low,6.92,22.7,1.224,6.543,64.1,8.9,critical,"Ammonia, Nitrite, Nitrate",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,5.8,7.5,22.0,28.0,0.02,0.02,20.0,6.3
91,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,6.48,25.8,0.002,0.001,7.8,8.8,excellent,,,Keep weekly testing and regular water changes.,low,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
92,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,6.19,24.9,0.003,0.003,8.4,9.2,excellent,,,Keep weekly testing and regular water changes.,low,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
93,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,6.63,24.1,0.002,0.004,6.8,10.2,excellent,,,Keep weekly testing and regular water changes.,low,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
94,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,6.61,27.1,0.002,0.001,5.1,8.4,excellent,,,Keep weekly testing and regular water changes.,low,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
95,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,6.31,23.2,0.012,0.009,15.1,7.3,good,,,Keep weekly testing and regular water changes.,low,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
96,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,7.42,26.7,0.012,0.004,18.4,7.0,good,,,Keep weekly testing and regular water changes.,low,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
97,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,6.5,27.4,0.012,0.01,16.5,7.6,good,,,Keep weekly testing and regular water changes.,low,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
98,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,7.97,24.5,0.001,0.001,7.7,9.2,watch,pH,pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,high,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
99,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,7.13,20.7,0.002,0.004,6.7,11.0,watch,Temperature,Temperature,Adjust the heater 1°C at a time. Increase surface movement if the tank is hot.,high,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
100,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,7.14,24.3,0.002,0.0,27.8,11.4,watch,Nitrate,Nitrate,"Do a 25–40% water change, vacuum the substrate, and add fast-growing plants.",medium,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
101,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,6.13,21.4,0.0,0.0,4.5,8.4,watch,Temperature,Temperature,Adjust the heater 1°C at a time. Increase surface movement if the tank is hot.,high,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
102,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,6.77,24.8,0.673,2.346,61.6,8.4,critical,"Ammonia, Nitrite, Nitrate",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
103,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,6.64,23.6,0.12,0.003,3.2,2.8,critical,"Ammonia, DissolvedO2",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
104,7,Fish,Congo Tetra,Phenacogrammus interruptus,Medium,6.53,25.2,0.12,0.003,4.6,2.7,critical,"Ammonia, DissolvedO2",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,6.0,7.5,23.0,28.0,0.02,0.02,20.0,6.4
